iter	RMSE
333	14380.62034
334	14372.9689
335	14364.46693
336	14342.79396
337	14315.36148
338	14290.46878
339	14274.24526
340	14252.43997
341	14237.6176
342	14219.23333
343	14202.29922
344	14163.82929
345	14145.47078
346	14139.9155
347	14121.44035
348	14100.82433
349	14070.68339
350	14045.96144
351	14005.12478
352	13980.52869
353	13951.13134
354	13930.00401
355	13884.33124
356	13876.35626
357	13836.56672
358	13811.0715
359	13784.43194
360	13752.18275
361	13715.8404
362	13706.134
363	13662.46734
364	13623.73618
365	13612.50937
366	13605.59292
367	13585.08878
368	13574.65199
369	13566.49563
370	13535.69363
371	13527.64843
372	13492.98371
373	13478.23764
374	13457.72801
375	13449.73148
376	13428.11851
377	13409.91353
378	13391.70208
379	13370.19725
380	13354.57942
381	13332.29303
382	13327.20492
383	13312.77194
384	13298.37713
385	13290.13021
386	13276.20955
387	13255.07703
388	13242.53694
389	13219.44444
390	13211.38529
391	13188.96901
392	13181.47152
393	13161.48722
394	13137.23996
395	13134.42133
396	13121.78423
397	13108.93813
398	13095.12305
399	13082.44486
400	13061.14673
401	13057.03082
402	13040.42053
403	13035.51483
404	13023.05148
405	13003.20964
406	12993.3407
407	12985.94513
408	12979.44102
409	12969.11343
410	12958.03721
411	12943.90925
412	12930.58139
413	12909.25526
414	12885.37095
415	12881.09545
416	12851.45008
417	12848.97275
418	12822.32722
419	12819.88533
420	12804.58983
421	12788.34118
422	12773.51123
423	12749.43503
424	12743.49411
425	12742.5874
426	12729.37996
427	12715.255
428	12710.26732
429	12696.60159
430	12680.65608
431	12663.93171
432	12660.88883
433	12655.0141
434	12644.65512
435	12618.58014
436	12608.66352
437	12586.96964
438	12567.75157
439	12563.3016
440	12545.43578
441	12533.35967
442	12531.86729
443	12525.45362
444	12502.16974
445	12493.55456
446	12490.19765
447	12465.80996
448	12452.60103
449	12427.80852
450	12400.95453
451	12394.06675
452	12374.90782
453	12354.29824
454	12351.74702
455	12338.98784
456	12333.45215
457	12316.55843
458	12310.8365
459	12288.82742
460	12286.16911
461	12263.86569
462	12261.58979
463	12249.9287
464	12230.98
465	12223.97155
466	12204.70386
467	12196.40447
468	12179.4836
469	12157.59606
470	12153.38362
471	12148.56159
472	12142.70363
473	12120.32846
474	12105.51069
475	12085.69772
476	12075.55661
477	12063.09476
478	12039.50564
479	12029.8807
480	12019.95077
481	11997.07039
482	11976.12156
483	11961.32185
484	11936.22853
485	11916.23689
486	11896.92527
487	11875.90714
488	11859.64765
489	11837.27288
490	11828.26556
491	11813.19111
492	11804.62408
493	11800.32971
494	11778.95123
495	11763.0486
496	11738.68198
497	11722.43285
498	11701.37768
499	11692.48905
500	11666.74041
501	11661.71723
502	11659.81143
503	11651.04431
504	11628.98557
505	11617.87059
506	11608.40915
507	11592.63096
508	11590.75272
509	11575.61613
510	11572.30262
511	11543.45642
512	11531.13568
513	11521.07142
514	11510.19495
515	11505.7249
516	11489.50724
517	11468.24185
518	11463.71622
519	11450.27972
520	11449.1596
521	11441.87836
522	11440.06023
523	11436.44074
524	11427.69017
525	11418.64228
526	11396.51898
527	11391.84945
528	11381.4396
529	11379.7879
530	11378.00205
531	11353.81687
532	11336.14588
533	11330.06128
534	11312.97602
535	11294.85699
536	11281.50591
537	11272.4454
538	11265.31735
539	11262.72975
540	11260.82428
541	11248.14878
542	11233.54289
543	11215.78487
544	11206.75686
545	11202.22876
546	11184.45146
547	11164.27464
548	11152.04775
549	11136.77728
550	11128.70022
551	11123.55448
552	11112.83418
553	11106.43973
554	11102.72434
555	11094.52631
556	11093.13996
557	11085.36799
558	11072.26476
559	11053.40898
560	11048.2052
561	11039.45952
562	11031.60902
563	11025.81843
564	10991.68262
565	10989.48757
566	10969.14746
567	10967.552
568	10962.1365
569	10958.13211
570	10946.21512
571	10939.0416
572	10927.2036
573	10920.93968
574	10919.74072
575	10900.15337
576	10893.26841
577	10887.83493
578	10863.00797
579	10843.18343
580	10839.59069
581	10838.51906
582	10824.18283
583	10812.58618
584	10809.99801
585	10805.4397
586	10800.73193
587	10794.69895
588	10779.77448
589	10771.23582
590	10760.41731
591	10743.48678
592	10738.0245
593	10718.26778
594	10713.17837
595	10693.06102
596	10685.52607
597	10667.03248
598	10661.53574
599	10649.96214
600	10645.5711
601	10635.09842
602	10617.71233
603	10611.18188
604	10602.05736
605	10589.6139
606	10584.59931
607	10565.76884
608	10564.75874
609	10553.07708
610	10545.3914
611	10532.12536
612	10521.71933
613	10507.58426
614	10497.50864
615	10484.38236
616	10478.1884
617	10472.30363
618	10465.81839
619	10459.47677
620	10447.70277
621	10444.80598
622	10433.01869
623	10425.92197
624	10422.90631
625	10420.19255
626	10412.77466
627	10398.0072
628	10384.17103
629	10377.43654
630	10357.75498
631	10339.78152
632	10326.5667
633	10319.13463
634	10304.2007
635	10299.51821
636	10285.60395
637	10278.26788
638	10277.18236
639	10260.18362
640	10251.14333
641	10248.82921
642	10237.88245
643	10236.66099
644	10235.4113
645	10231.44226
646	10224.89981
647	10216.34262
648	10202.9806
649	10194.41791
650	10184.53472
651	10174.27333
652	10158.40488
653	10153.43308
654	10144.63148
655	10133.40815
656	10116.56826
657	10099.02736
658	10094.67476
659	10082.51426
660	10065.43984
661	10056.17787
662	10052.20526
663	10051.70821
664	10039.18756
665	10034.19993
666	10022.51399
667	10018.50267
668	10013.34258
669	10003.1127
670	9991.43371
671	9983.488433
672	9970.130634
673	9958.615128
674	9944.639462
675	9940.620614
676	9926.535018
677	9923.685177
678	9920.444085
679	9909.791705
680	9908.859088
681	9906.477243
682	9899.408143
683	9896.712152
684	9893.541712
685	9878.643676
686	9876.844553
687	9875.804732
688	9873.718902
689	9860.447819
690	9852.364022
691	9844.745515
692	9842.151733
693	9841.172491
694	9839.19226
695	9834.864163
696	9823.423717
697	9822.514251
698	9819.095206
699	9817.390556
700	9799.576758
701	9780.521805
702	9773.591821
703	9763.695649
704	9760.511601
705	9758.375478
706	9755.68908
707	9752.003555
708	9748.773389
709	9727.680089
710	9714.540021
711	9706.765925
712	9704.382926
713	9676.855784
714	9671.320476
715	9667.173605
716	9653.958055
717	9649.277971
718	9643.899936
719	9642.85016
720	9628.710923
721	9620.143814
722	9614.384924
723	9605.904924
724	9587.920038
725	9580.048744
726	9572.628842
727	9564.761007
728	9559.276968
729	9552.051263
730	9545.999747
731	9537.529437
732	9534.840813
733	9527.67012
734	9520.497696
735	9510.231307
736	9507.147797
737	9499.104381
738	9489.779324
739	9488.438574
740	9476.904073
741	9473.870078
742	9473.324782
743	9460.214365
744	9455.779545
745	9448.786808
746	9442.963527
747	9439.046933
748	9432.917681
749	9421.732635
750	9420.935969
751	9410.846473
752	9405.379665
753	9401.047615
754	9391.953001
755	9375.513809
756	9360.672135
757	9357.038624
758	9341.674212
759	9335.919034
760	9328.387915
761	9318.87659
762	9315.664002
763	9303.956868
764	9294.042896
765	9293.449445
766	9282.429417
767	9280.407117
768	9273.995139
769	9261.095053
770	9258.498308
771	9234.986874
772	9234.358472
773	9226.167254
774	9220.827429
775	9212.723098
776	9193.923626
777	9183.123202
778	9180.154324
779	9168.990774
780	9168.466845
781	9155.235965
782	9151.40448
783	9141.876162
784	9141.372923
785	9133.95444
786	9127.934061
787	9120.50101
788	9108.492291
789	9097.012774
790	9095.155563
791	9091.631547
792	9081.407489
793	9073.981539
794	9070.042625
795	9060.272935
796	9056.507681
797	9054.476275
798	9048.480348
799	9036.981212
800	9035.496121
801	9029.90446
802	9025.467007
803	9020.91381
804	9013.78095
805	9007.7086
806	8993.747717
807	8990.010952
808	8988.78095
809	8978.749007
810	8970.410612
811	8969.890438
812	8963.849633
813	8961.343049
814	8957.524972
815	8956.100754
816	8945.118147
817	8937.122604
818	8931.469805
819	8915.517737
820	8909.499148
821	8907.147426
822	8901.005657
823	8889.96743
824	8876.476938
825	8859.403167
826	8852.224113
827	8839.325757
828	8828.743172
829	8824.405446
830	8818.180346
831	8812.98992
832	8802.577535
833	8797.27367
834	8792.400631
835	8787.937559
836	8778.680111
837	8774.030985
838	8770.496961
839	8768.381241
840	8763.918598
841	8762.608023
842	8759.500033
843	8751.721002
844	8749.390703
845	8736.970516
846	8727.386478
847	8720.163672
848	8719.688406
849	8718.624175
850	8715.172367
851	8710.003228
852	8703.909783
853	8702.636974
854	8696.29946
855	8684.006052
856	8673.472095
857	8668.178014
858	8663.172962
859	8658.69877
860	8648.357264
861	8642.085048
862	8636.03409
863	8629.513224
864	8616.965192
865	8610.258823
866	8605.132115
867	8599.908164
868	8595.895776
869	8577.006522
870	8568.742388
871	8564.220517
872	8556.644463
873	8555.527423
874	8546.952859
875	8546.816603
876	8544.285115
877	8538.159777
878	8530.110828
879	8523.781432
880	8522.334306
881	8507.913843
882	8502.48648
883	8498.602318
884	8496.898696
885	8491.805038
886	8490.054419
887	8479.732838
888	8476.960212
889	8470.607039
890	8468.305183
891	8463.104088
892	8459.814535
893	8453.968537
894	8441.468761
895	8437.050315
896	8434.954824
897	8429.100238
898	8428.033986
899	8427.397906
900	8421.878406
901	8418.76214
902	8415.853767
903	8410.515265
904	8402.688906
905	8398.515108
906	8396.5231
907	8394.932195
908	8390.912126
909	8389.136421
910	8378.085092
911	8374.132857
912	8372.909562
913	8371.753574
914	8369.324933
915	8363.349855
916	8359.298675
917	8351.095449
918	8347.271287
919	8346.0673
920	8341.474579
921	8339.728373
922	8327.5625
923	8326.117589
924	8321.360046
925	8317.377786
926	8311.252841
927	8304.534632
928	8295.852048
929	8293.280958
930	8288.186226
931	8282.373703
932	8268.288023
933	8267.07545
934	8266.502955
935	8261.924222
936	8258.926215
937	8258.282909
938	8247.516487
939	8239.819373
940	8238.059594
941	8226.891807
942	8222.150897
943	8212.071645
944	8206.015192
945	8196.49597
946	8194.181017
947	8193.407431
948	8188.73237
949	8181.56531
950	8177.343207
951	8171.419077
952	8169.711419
953	8165.518062
954	8159.957286
955	8158.862646
956	8153.346395
957	8153.059986
958	8139.627697
959	8136.514836
960	8131.931145
961	8131.147551
962	8125.847775
963	8120.841245
964	8120.773305
965	8116.154117
966	8111.175466
967	8109.7623
968	8098.300319
969	8098.072277
970	8092.685381
971	8090.727859
972	8070.893142
973	8067.86071
974	8062.352082
975	8053.25733
976	8042.425086
977	8041.432717
978	8036.150739
979	8035.40875
980	8020.754681
981	8017.018102
982	8006.145963
983	7994.938041
984	7989.694997
985	7986.973714
986	7985.110064
987	7978.345826
988	7977.958071
989	7970.165146
990	7965.663606
991	7954.161917
992	7947.987742
993	7947.152595
994	7938.925339
995	7938.36383
996	7931.672402
997	7929.32986
998	7918.785274
999	7906.28425
