iter	Passed	Remaining
403	10414	15363
404	10430	15324
405	10447	15285
406	10463	15245
407	10483	15210
408	10507	15183
409	10525	15146
410	10541	15107
411	10567	15082
412	10596	15060
413	10617	15028
414	10659	15026
415	10689	15006
416	10713	14979
417	10742	14957
418	10772	14937
419	10794	14907
420	10823	14884
421	10847	14857
422	10872	14830
423	10896	14802
424	10917	14771
425	10942	14743
426	10971	14723
427	10999	14700
428	11035	14688
429	11061	14663
430	11084	14633
431	11107	14603
432	11130	14575
433	11153	14545
434	11173	14512
435	11198	14486
436	11234	14474
437	11262	14450
438	11282	14417
439	11326	14415
440	11355	14394
441	11381	14367
442	11405	14339
443	11427	14310
444	11456	14288
445	11483	14264
446	11513	14243
447	11537	14216
448	11561	14187
449	11586	14161
450	11618	14142
451	11656	14131
452	11680	14103
453	11708	14081
454	11731	14052
455	11759	14028
456	11787	14005
457	11810	13976
458	11854	13972
459	11897	13966
460	11930	13948
461	11953	13920
462	11978	13893
463	12009	13873
464	12044	13857
465	12068	13829
466	12095	13804
467	12119	13777
468	12153	13759
469	12177	13732
470	12202	13705
471	12226	13676
472	12251	13650
473	12270	13617
474	12294	13588
475	12315	13557
476	12336	13526
477	12367	13506
478	12391	13477
479	12418	13453
480	12444	13427
481	12470	13401
482	12491	13371
483	12513	13341
484	12547	13323
485	12568	13292
486	12608	13281
487	12641	13262
488	12668	13238
489	12690	13208
490	12721	13187
491	12757	13172
492	12785	13149
493	12820	13131
494	12854	13114
495	12879	13087
496	12902	13058
497	12929	13033
498	12956	13008
499	12987	12987
500	13008	12956
501	13031	12927
502	13055	12900
503	13081	12873
504	13099	12840
505	13122	12810
506	13144	12781
507	13167	12753
508	13192	12726
509	13217	12699
510	13251	12681
511	13289	12666
512	13313	12638
513	13337	12610
514	13362	12583
515	13387	12557
516	13410	12528
517	13430	12497
518	13453	12468
519	13478	12441
520	13503	12414
521	13537	12396
522	13578	12384
523	13626	12378
524	13652	12352
525	13674	12322
526	13702	12298
527	13726	12270
528	13761	12252
529	13795	12233
530	13821	12207
531	13842	12177
532	13868	12151
533	13898	12128
534	13924	12102
535	13955	12080
536	13985	12058
537	14009	12030
538	14032	12001
539	14061	11978
540	14091	11955
541	14111	11924
542	14141	11901
543	14174	11881
544	14197	11852
545	14222	11825
546	14243	11795
547	14266	11767
548	14297	11745
549	14323	11719
550	14374	11713
551	14400	11687
552	14428	11662
553	14451	11633
554	14475	11606
555	14499	11578
556	14519	11548
557	14542	11518
558	14562	11488
559	14600	11471
560	14659	11471
561	14685	11445
562	14707	11416
563	14733	11389
564	14762	11365
565	14786	11338
566	14804	11305
567	14826	11276
568	14849	11248
569	14872	11219
570	14907	11200
571	14931	11172
572	14954	11144
573	14982	11119
574	15006	11091
575	15026	11061
576	15053	11036
577	15075	11006
578	15100	10979
579	15124	10952
580	15152	10927
581	15174	10898
582	15200	10872
583	15225	10845
584	15253	10820
585	15277	10793
586	15306	10769
587	15330	10741
588	15357	10716
589	15385	10691
590	15406	10661
591	15430	10634
592	15455	10607
593	15477	10578
594	15507	10555
595	15537	10531
596	15564	10506
597	15601	10488
598	15640	10470
599	15665	10443
600	15699	10422
601	15720	10393
602	15756	10373
603	15781	10346
604	15803	10317
605	15826	10289
606	15849	10261
607	15870	10232
608	15909	10214
609	15978	10215
610	16007	10191
611	16034	10165
612	16059	10138
613	16100	10122
614	16121	10092
615	16143	10063
616	16171	10038
617	16194	10010
618	16217	9982
619	16245	9957
620	16269	9929
621	16298	9904
622	16322	9877
623	16359	9857
624	16394	9836
625	16421	9810
626	16444	9782
627	16465	9753
628	16488	9725
629	16507	9694
630	16537	9670
631	16568	9647
632	16593	9620
633	16618	9593
634	16652	9572
635	16673	9542
636	16709	9521
637	16736	9496
638	16758	9467
639	16787	9442
640	16840	9431
641	16875	9410
642	16907	9386
643	16934	9361
644	16960	9334
645	16985	9307
646	17006	9278
647	17038	9255
648	17064	9228
649	17090	9202
650	17120	9178
651	17151	9154
652	17187	9133
653	17219	9109
654	17242	9081
655	17273	9058
656	17297	9030
657	17325	9004
658	17357	8981
659	17387	8957
660	17413	8930
661	17441	8905
662	17464	8876
663	17490	8850
664	17520	8826
665	17555	8804
666	17597	8785
667	17627	8761
668	17656	8735
669	17691	8713
670	17720	8688
671	17742	8659
672	17761	8630
673	17783	8601
674	17808	8574
675	17833	8547
676	17858	8520
677	17883	8493
678	17909	8466
679	17934	8439
680	17956	8411
681	17979	8383
682	18002	8355
683	18028	8328
684	18051	8301
685	18099	8284
686	18122	8256
687	18155	8233
688	18184	8207
689	18216	8184
690	18241	8157
691	18268	8131
692	18291	8103
693	18316	8076
694	18353	8054
695	18381	8028
696	18413	8004
697	18442	7979
698	18467	7952
699	18489	7924
700	18517	7898
701	18537	7869
702	18574	7847
703	18603	7821
704	18633	7797
705	18658	7769
706	18685	7743
707	18709	7716
708	18732	7688
709	18756	7660
710	18781	7634
711	18806	7606
712	18828	7578
713	18849	7550
714	18876	7524
715	18902	7497
716	18926	7470
717	18949	7442
718	18981	7418
719	19007	7391
720	19030	7364
721	19091	7350
722	19143	7334
723	19172	7309
724	19197	7281
725	19218	7253
726	19244	7226
727	19272	7200
728	19310	7178
729	19343	7154
730	19377	7130
731	19409	7106
732	19443	7082
733	19477	7058
734	19537	7044
735	19582	7024
736	19623	7002
737	19660	6979
738	19702	6958
739	19746	6937
740	19778	6913
741	19813	6889
742	19845	6864
743	19872	6837
744	19899	6811
745	19935	6787
746	19954	6758
747	19995	6736
748	20037	6714
749	20064	6688
750	20101	6664
751	20143	6643
752	20170	6616
753	20199	6590
754	20225	6563
755	20253	6536
756	20288	6512
757	20349	6496
758	20376	6469
759	20422	6449
760	20451	6423
761	20484	6397
762	20517	6372
763	20564	6352
764	20603	6329
765	20659	6311
766	20703	6289
767	20761	6271
768	20794	6246
769	20838	6224
770	20875	6200
771	20898	6172
772	20928	6145
773	20951	6117
774	20974	6089
775	20998	6061
776	21027	6034
777	21055	6008
778	21085	5981
779	21112	5954
780	21137	5927
781	21166	5900
782	21192	5873
783	21225	5847
784	21252	5820
785	21293	5797
786	21320	5770
787	21347	5743
788	21377	5717
789	21403	5689
790	21434	5663
791	21473	5639
792	21529	5620
793	21577	5598
794	21613	5573
795	21664	5552
796	21691	5524
797	21720	5498
798	21750	5471
799	21775	5443
800	21814	5419
801	21848	5393
802	21893	5371
803	21950	5351
804	21973	5322
805	21996	5294
806	22029	5268
807	22059	5241
808	22084	5213
809	22109	5186
810	22144	5160
811	22198	5139
812	22232	5113
813	22268	5088
814	22296	5061
815	22325	5034
816	22360	5008
817	22411	4986
818	22436	4958
819	22463	4931
820	22506	4906
821	22546	4882
822	22580	4856
823	22613	4830
824	22657	4806
825	22681	4777
826	22709	4750
827	22733	4722
828	22763	4695
829	22813	4672
830	22853	4647
831	22886	4621
832	22913	4593
833	22953	4568
834	22977	4540
835	23004	4512
836	23044	4487
837	23081	4462
838	23125	4437
839	23150	4409
840	23174	4381
841	23204	4354
842	23228	4326
843	23252	4297
844	23280	4270
845	23299	4241
846	23319	4212
847	23339	4183
848	23362	4155
849	23385	4126
850	23407	4098
851	23426	4069
852	23448	4041
853	23477	4013
854	23508	3986
855	23544	3960
856	23570	3932
857	23592	3904
858	23620	3877
859	23668	3853
860	23697	3825
861	23717	3797
862	23742	3769
863	23766	3740
864	23786	3712
865	23813	3684
866	23833	3656
867	23863	3629
868	23886	3600
869	23906	3572
870	23925	3543
871	23947	3515
872	23973	3487
873	24004	3460
874	24030	3432
875	24054	3405
876	24080	3377
877	24103	3349
878	24128	3321
879	24152	3293
880	24176	3265
881	24195	3237
882	24214	3208
883	24233	3179
884	24256	3152
885	24281	3124
886	24295	3095
887	24319	3067
888	24344	3039
889	24371	3012
890	24409	2986
891	24436	2958
892	24464	2931
893	24485	2903
894	24511	2875
895	24535	2847
896	24574	2821
897	24605	2794
898	24641	2768
899	24684	2742
900	24710	2715
901	24734	2687
902	24759	2659
903	24812	2634
904	24838	2607
905	24861	2579
906	24890	2552
907	24913	2524
908	24936	2496
909	24961	2468
910	24983	2440
911	25005	2412
912	25028	2384
913	25054	2357
914	25086	2330
915	25108	2302
916	25132	2274
917	25157	2247
918	25179	2219
919	25203	2191
920	25226	2163
921	25263	2137
922	25291	2109
923	25327	2083
924	25351	2055
925	25373	2027
926	25396	1999
927	25421	1972
928	25446	1944
929	25466	1916
930	25509	1890
931	25539	1863
932	25562	1835
933	25589	1808
934	25612	1780
935	25650	1753
936	25677	1726
937	25700	1698
938	25729	1671
939	25755	1643
940	25791	1617
941	25810	1589
942	25834	1561
943	25857	1533
944	25880	1506
945	25900	1478
946	25923	1450
947	25946	1423
948	25968	1395
949	25991	1367
950	26012	1340
951	26035	1312
952	26060	1285
953	26081	1257
954	26114	1230
955	26136	1202
956	26159	1175
957	26182	1147
958	26221	1121
959	26258	1094
960	26284	1066
961	26309	1039
962	26336	1011
963	26361	984
964	26387	957
965	26419	929
966	26444	902
967	26475	875
968	26498	847
969	26519	820
970	26543	792
971	26569	765
972	26591	737
973	26616	710
974	26644	683
975	26665	655
976	26687	628
977	26711	600
978	26738	573
979	26768	546
980	26790	518
981	26812	491
982	26833	464
983	26856	436
984	26889	409
985	26917	382
986	26949	354
987	26969	327
988	26992	300
989	27033	273
990	27066	245
991	27086	218
992	27109	191
993	27136	163
994	27164	136
995	27188	109
996	27214	81
997	27248	54
998	27275	27
999	27295	0
